"Chrom","Start","End","EnsID"
7,46693310,46701047,"ENSSSAG00000048875"
1,18422404,18433254,"ENSSSAG00000097195"
10,109180796,109200681,"ENSSSAG00000004865"
19,11635273,11663588,"ENSSSAG00000079357"
1,19181537,19183736,"ENSSSAG00000089627"
1,19730012,19740929,"ENSSSAG00000121537"
25,36379978,36401371,"ENSSSAG00000071117"
1,10517315,10519157,"ENSSSAG00000100622"
1,10519521,10521763,"ENSSSAG00000108542"
1,11217930,11220659,"ENSSSAG00000116656"
10,109184885,109204106,"ENSSSAG00000004891"
26,55000725,55018476,"ENSSSAG00000083118"
1,13901194,13942780,"ENSSSAG00000088122"
3,27353663,27368753,"ENSSSAG00000065639"
7,31810708,31812140,"ENSSSAG00000113737"
1,14006661,14007706,"ENSSSAG00000108281"
1,14392121,14394111,"ENSSSAG00000099115"
1,14430902,14435028,"ENSSSAG00000115368"
1,134624407,134631748,"ENSSSAG00000008599"
1,16063698,16067496,"ENSSSAG00000114533"
7,24025833,24034326,"ENSSSAG00000062069"
1,16689618,16691600,"ENSSSAG00000087038"
1,16692363,16698436,"ENSSSAG00000094310"
9,75113406,75123842,"ENSSSAG00000005203"
7,31909976,31958784,"ENSSSAG00000098231"
7,46694708,46703598,"ENSSSAG00000118280"
6,24139179,24172357,"ENSSSAG00000112727"
1,17472655,17474467,"ENSSSAG00000120116"
1,17687897,17690293,"ENSSSAG00000093314"
1,17694867,17697982,"ENSSSAG00000085454"
1,19690449,19691666,"ENSSSAG00000083485"
1,19728337,19740300,"ENSSSAG00000118481"
3,27387481,27401026,"ENSSSAG00000115473"
14,100271234,100385916,"ENSSSAG00000041723"
1,11865933,11882393,"ENSSSAG00000087181"
18,10207870,10212915,"ENSSSAG00000065787"
10,103467269,103507880,"ENSSSAG00000053006"
1,13569690,13581189,"ENSSSAG00000087924"
21,33556644,33561308,"ENSSSAG00000054194"
3,27400981,27411149,"ENSSSAG00000117605"
7,46716978,46731441,"ENSSSAG00000048891"
1,14427689,14449921,"ENSSSAG00000084671"
19,69578905,69617377,"ENSSSAG00000108490"
5,43092326,43423427,"ENSSSAG00000053419"
1,16906106,16911597,"ENSSSAG00000097712"
21,33560392,33575912,"ENSSSAG00000054206"
7,24099173,24101209,"ENSSSAG00000082238"
1,16912989,16918907,"ENSSSAG00000106800"
3,32479471,32483504,"ENSSSAG00000071078"
3,27429622,27511020,"ENSSSAG00000047364"
18,10343887,10346690,"ENSSSAG00000065797"
1,16915562,16918907,"ENSSSAG00000092713"
6,24181818,24220749,"ENSSSAG00000118349"
1,18422404,18433254,"ENSSSAG00000121183"
1,19181537,19183736,"ENSSSAG00000084673"
13,45312840,45331991,"ENSSSAG00000064254"
18,10347997,10629558,"ENSSSAG00000065803"
1,19730012,19740929,"ENSSSAG00000108244"
7,20765441,20784970,"ENSSSAG00000079611"
1,10391804,10391875,"ENSSSAG00000108808"
1,10423060,10423196,"ENSSSAG00000000167"
1,10396311,10396382,"ENSSSAG00000112105"
1,10051360,10051416,"ENSSSAG00000118894"
1,10395842,10395913,"ENSSSAG00000086317"
19,56269813,56294736,"ENSSSAG00000066721"
1,13296079,13296160,"ENSSSAG00000008961"
1,13297915,13297986,"ENSSSAG00000008966"
1,134629444,134663775,"ENSSSAG00000008656"
1,13298391,13298472,"ENSSSAG00000008969"
1,11913934,11914011,"ENSSSAG00000008502"
9,75119048,75136860,"ENSSSAG00000106998"
1,13321637,13360986,"ENSSSAG00000009205"
19,69585174,69589363,"ENSSSAG00000107371"
7,37039350,37063761,"ENSSSAG00000056693"
21,33592419,33878144,"ENSSSAG00000054237"
19,69620877,69630477,"ENSSSAG00000078463"
1,138862433,138882823,"ENSSSAG00000069010"
19,18051820,18131544,"ENSSSAG00000080111"
7,31958145,32007442,"ENSSSAG00000067626"
5,36973755,37002897,"ENSSSAG00000078969"
9,75177945,75178294,"ENSSSAG00000005226"
1,149462200,149487603,"ENSSSAG00000080106"
26,55089538,55137522,"ENSSSAG00000101377"
10,110085032,110140651,"ENSSSAG00000094080"
1,135023040,135045289,"ENSSSAG00000098144"
6,72557754,72580904,"ENSSSAG00000008446"
3,40152876,40165417,"ENSSSAG00000093405"
7,29221704,29383820,"ENSSSAG00000118234"
1,138109856,138141461,"ENSSSAG00000062874"
7,46726142,46728196,"ENSSSAG00000089454"
9,75198173,75212133,"ENSSSAG00000005256"
7,46751495,46752770,"ENSSSAG00000048908"
7,46769902,46775389,"ENSSSAG00000111937"
7,46775409,46780262,"ENSSSAG00000048915"
3,40166338,40197871,"ENSSSAG00000090795"
7,24055162,24073073,"ENSSSAG00000095891"
19,69639022,69675472,"ENSSSAG00000082411"
5,37001197,37049942,"ENSSSAG00000085135"
3,40239401,40315520,"ENSSSAG00000081313"
7,24090560,24098961,"ENSSSAG00000005428"
7,46791819,46792557,"ENSSSAG00000048922"
10,109719115,109899706,"ENSSSAG00000008692"
19,69686111,69735038,"ENSSSAG00000109282"
1,138140666,138173673,"ENSSSAG00000062888"
13,45391080,45485003,"ENSSSAG00000064192"
24,23099632,23201589,"ENSSSAG00000097996"
7,46796178,46801072,"ENSSSAG00000048928"
25,27570221,27575425,"ENSSSAG00000098453"
19,69731047,69736386,"ENSSSAG00000078773"
24,23203299,23211483,"ENSSSAG00000109250"
17,14585039,14606411,"ENSSSAG00000054346"
25,23019125,23034551,"ENSSSAG00000071814"
17,61507826,61512512,"ENSSSAG00000105006"
7,29366124,29368807,"ENSSSAG00000083803"
5,37060633,37064153,"ENSSSAG00000078987"
1,131925986,131930843,"ENSSSAG00000068107"
7,46798084,46799426,"ENSSSAG00000092724"
7,20737011,20756103,"ENSSSAG00000079590"
9,75217929,75243023,"ENSSSAG00000005350"
20,73501784,73530054,"ENSSSAG00000078238"
17,14602996,14628148,"ENSSSAG00000054363"
1,138683625,138691634,"ENSSSAG00000109319"
17,61538407,61542973,"ENSSSAG00000046281"
1,149525794,149603953,"ENSSSAG00000115220"
7,37061815,37065743,"ENSSSAG00000056852"
7,46803231,46805198,"ENSSSAG00000048939"
1,138684063,138696416,"ENSSSAG00000068814"
17,61039363,61040435,"ENSSSAG00000044845"
24,23213361,23282560,"ENSSSAG00000081536"
3,30558611,30627330,"ENSSSAG00000001783"
1,142627402,142639572,"ENSSSAG00000046876"
6,24222028,24243455,"ENSSSAG00000001764"
5,50054523,50072270,"ENSSSAG00000010034"
20,73532027,73542305,"ENSSSAG00000078247"
5,37084524,37095655,"ENSSSAG00000078989"
17,61051294,61052089,"ENSSSAG00000045071"
6,21332977,21357472,"ENSSSAG00000046828"
6,22400868,22419371,"ENSSSAG00000115662"
1,138735230,138743090,"ENSSSAG00000068895"
3,27514165,27564403,"ENSSSAG00000086086"
6,22432443,22538279,"ENSSSAG00000102109"
9,128199218,128229545,"ENSSSAG00000063849"
5,37103268,37110725,"ENSSSAG00000078991"
6,22592751,22601619,"ENSSSAG00000111918"
5,50082703,50090075,"ENSSSAG00000112584"
6,22599519,22718723,"ENSSSAG00000042205"
17,61543162,61559071,"ENSSSAG00000002634"
5,42659557,42668894,"ENSSSAG00000047423"
1,138757132,138773382,"ENSSSAG00000068907"
6,27253016,27306393,"ENSSSAG00000096383"
5,42388875,42390906,"ENSSSAG00000095447"
5,42432818,42471639,"ENSSSAG00000087275"
1,142644261,142657721,"ENSSSAG00000046917"
5,42469005,42471944,"ENSSSAG00000115561"
7,46834052,46841602,"ENSSSAG00000101043"
5,43578476,43579470,"ENSSSAG00000122197"
5,44262480,44295870,"ENSSSAG00000095810"
5,44368339,44390263,"ENSSSAG00000083651"
5,44376632,44380872,"ENSSSAG00000113747"
5,44708848,44742765,"ENSSSAG00000095050"
5,44825250,44875759,"ENSSSAG00000100518"
3,27573393,27670369,"ENSSSAG00000065944"
5,37110432,37125017,"ENSSSAG00000078994"
5,44980472,44981548,"ENSSSAG00000118331"
7,46825936,46833775,"ENSSSAG00000048963"
5,45039719,45071467,"ENSSSAG00000104101"
5,45584706,45625784,"ENSSSAG00000112352"
5,45765200,45766761,"ENSSSAG00000116475"
5,45954998,45957510,"ENSSSAG00000101739"
5,46151911,46153334,"ENSSSAG00000095904"
5,47110637,47114108,"ENSSSAG00000085690"
5,47966212,47970283,"ENSSSAG00000107297"
7,48572928,48580507,"ENSSSAG00000005358"
5,48407429,48411815,"ENSSSAG00000114237"
20,61492565,61502814,"ENSSSAG00000051709"
4,79286959,79295910,"ENSSSAG00000110588"
5,48461220,48462932,"ENSSSAG00000093163"
5,48964056,48973443,"ENSSSAG00000094771"
5,48967038,48982180,"ENSSSAG00000100324"
5,49169064,49169816,"ENSSSAG00000089416"
5,49788736,49854192,"ENSSSAG00000107076"
25,27575715,27639146,"ENSSSAG00000065433"
5,42839893,42850036,"ENSSSAG00000111765"
9,128230508,128245748,"ENSSSAG00000063991"
17,11575971,11739541,"ENSSSAG00000023548"
14,100282799,100290371,"ENSSSAG00000090890"
14,100412912,100459473,"ENSSSAG00000088235"
5,42846673,42849421,"ENSSSAG00000114440"
4,79359114,79503469,"ENSSSAG00000079852"
5,44225767,44231224,"ENSSSAG00000099395"
20,61854252,61862795,"ENSSSAG00000053707"
5,44565592,44578482,"ENSSSAG00000094282"
5,37143695,37169915,"ENSSSAG00000106647"
14,100489059,100598178,"ENSSSAG00000041867"
20,25027561,25085431,"ENSSSAG00000051412"
5,45313943,45357777,"ENSSSAG00000103239"
24,39372532,39375940,"ENSSSAG00000075746"
14,100529582,100531313,"ENSSSAG00000116523"
5,47110436,47116840,"ENSSSAG00000099890"
5,48391861,48405541,"ENSSSAG00000102157"
20,61864715,61890508,"ENSSSAG00000053727"
5,48397612,48424185,"ENSSSAG00000096283"
24,39404301,39452240,"ENSSSAG00000075753"
14,100715482,100744858,"ENSSSAG00000042061"
5,48462647,48477972,"ENSSSAG00000089335"
10,88630803,88636100,"ENSSSAG00000098676"
5,48518270,48522049,"ENSSSAG00000114948"
9,122070311,122071916,"ENSSSAG00000095049"
5,42843096,42843295,"ENSSSAG00000047930"
5,50080629,50080871,"ENSSSAG00000010041"
5,50079195,50079466,"ENSSSAG00000010040"
5,42344067,42344131,"ENSSSAG00000097412"
5,42722126,42722180,"ENSSSAG00000105828"
11,75810023,75933116,"ENSSSAG00000078391"
5,41734857,41734914,"ENSSSAG00000119213"
9,122077755,122090100,"ENSSSAG00000044707"
5,42721715,42721776,"ENSSSAG00000047478"
29,10370242,10595282,"ENSSSAG00000069243"
5,49632166,49637901,"ENSSSAG00000111538"
14,100752768,100782814,"ENSSSAG00000098746"
20,61891114,61904573,"ENSSSAG00000053832"
11,75935901,75945873,"ENSSSAG00000098590"
2,34238539,34267051,"ENSSSAG00000120821"
20,73572665,73583232,"ENSSSAG00000106401"
28,37251026,37262275,"ENSSSAG00000111190"
11,75936508,75951511,"ENSSSAG00000113975"
28,37381812,37384815,"ENSSSAG00000089712"
20,61906467,61913550,"ENSSSAG00000053838"
11,75955685,75987944,"ENSSSAG00000078402"
7,46841717,46845166,"ENSSSAG00000048969"
28,37398588,37415016,"ENSSSAG00000096165"
28,37442957,37584089,"ENSSSAG00000011497"
2,33951272,33956164,"ENSSSAG00000042807"
19,69736267,69750743,"ENSSSAG00000078800"
20,63924510,63929502,"ENSSSAG00000072498"
18,11988772,12102414,"ENSSSAG00000001809"
20,73568157,73583365,"ENSSSAG00000078330"
13,59781353,59793073,"ENSSSAG00000116382"
28,37784693,37862875,"ENSSSAG00000078881"
13,55592702,55626059,"ENSSSAG00000072862"
5,35949796,36141389,"ENSSSAG00000076067"
11,75990043,76037114,"ENSSSAG00000078491"
1,160891500,160933531,"ENSSSAG00000070752"
9,128400674,128408018,"ENSSSAG00000111671"
7,48646504,48664239,"ENSSSAG00000108697"
19,69751640,69776182,"ENSSSAG00000118996"
5,78972550,78980769,"ENSSSAG00000121850"
3,64820060,64903554,"ENSSSAG00000090709"
9,128371502,128400457,"ENSSSAG00000105939"
10,88651607,88664982,"ENSSSAG00000039328"
7,37077875,37098399,"ENSSSAG00000095027"
7,46879817,46953527,"ENSSSAG00000049032"
23,2251759,2276088,"ENSSSAG00000102493"
9,128398555,128417761,"ENSSSAG00000066172"
5,78989988,79015740,"ENSSSAG00000042843"
7,37098876,37102020,"ENSSSAG00000056914"
28,37616415,37790755,"ENSSSAG00000115584"
13,42432971,42453060,"ENSSSAG00000085444"
14,85079398,85084441,"ENSSSAG00000082680"
7,37773257,37773979,"ENSSSAG00000002392"
1,27774906,27784674,"ENSSSAG00000002314"
4,57871006,57890705,"ENSSSAG00000108810"
19,69776290,69782391,"ENSSSAG00000082016"
13,42452809,42456332,"ENSSSAG00000068989"
3,64904036,64905646,"ENSSSAG00000091513"
14,85084277,85088396,"ENSSSAG00000057845"
4,51586651,51590230,"ENSSSAG00000109645"
19,69777489,69795463,"ENSSSAG00000078822"
3,66575603,66579179,"ENSSSAG00000069313"
7,36551138,36553843,"ENSSSAG00000054726"
4,51611914,51619673,"ENSSSAG00000079282"
14,85092993,85104957,"ENSSSAG00000093638"
7,33876280,33882583,"ENSSSAG00000097083"
5,37173797,37192781,"ENSSSAG00000068911"
13,45497253,45499210,"ENSSSAG00000064172"
3,66578462,66581649,"ENSSSAG00000000729"
14,81741666,81795871,"ENSSSAG00000047250"
3,65344445,65375173,"ENSSSAG00000009824"
9,128436440,128480474,"ENSSSAG00000115393"
7,34018978,34065226,"ENSSSAG00000004769"
13,45517100,45518322,"ENSSSAG00000064169"
15,23962932,23964263,"ENSSSAG00000068910"
9,128466266,128525948,"ENSSSAG00000066249"
3,67799090,67808445,"ENSSSAG00000043215"
2,34276606,34289627,"ENSSSAG00000087282"
10,90051303,90064139,"ENSSSAG00000070983"
13,45544314,45548901,"ENSSSAG00000102500"
15,24013309,24023520,"ENSSSAG00000068916"
2,34346596,34359746,"ENSSSAG00000109417"
21,11762208,11768736,"ENSSSAG00000042144"
16,18805667,18822141,"ENSSSAG00000067703"
13,45561022,45570474,"ENSSSAG00000064058"
10,88114952,88146514,"ENSSSAG00000067194"
23,7487906,7493085,"ENSSSAG00000097280"
4,33866125,33872868,"ENSSSAG00000053572"
15,29306681,29366472,"ENSSSAG00000075865"
14,81772144,81988690,"ENSSSAG00000047602"
4,55115410,55139599,"ENSSSAG00000072299"
14,81795841,81801975,"ENSSSAG00000047259"
21,19269576,19288729,"ENSSSAG00000075806"
23,7772738,7957914,"ENSSSAG00000110126"
2,33729567,33747760,"ENSSSAG00000036663"
7,34045569,34048297,"ENSSSAG00000004116"
21,19321251,19325687,"ENSSSAG00000075810"
10,88160099,88174452,"ENSSSAG00000066405"
13,59217143,59281471,"ENSSSAG00000058083"
27,23847328,23866226,"ENSSSAG00000110783"
14,81801467,81811849,"ENSSSAG00000047261"
23,7954609,7983464,"ENSSSAG00000079173"
6,72583468,72594058,"ENSSSAG00000109308"
21,19373781,19377448,"ENSSSAG00000075811"
14,81834335,81955108,"ENSSSAG00000047288"
21,19379722,19384264,"ENSSSAG00000119624"
10,83611819,83668225,"ENSSSAG00000073245"
16,18832333,18838922,"ENSSSAG00000067723"
6,72596852,72614501,"ENSSSAG00000098472"
15,96810962,96811911,"ENSSSAG00000114035"
21,19395945,19405986,"ENSSSAG00000075815"
7,65023648,65025929,"ENSSSAG00000111230"
10,83669023,83720733,"ENSSSAG00000102413"
6,76199551,76209753,"ENSSSAG00000040657"
7,65121741,65126511,"ENSSSAG00000095994"
15,96842523,96860134,"ENSSSAG00000039073"
16,17579868,17598267,"ENSSSAG00000063370"
15,96874156,96877931,"ENSSSAG00000089188"
6,76211845,76226523,"ENSSSAG00000040681"
16,17603227,17608001,"ENSSSAG00000087349"
15,96877307,96894162,"ENSSSAG00000041405"
7,65214815,65216302,"ENSSSAG00000096302"
7,20826789,20839562,"ENSSSAG00000104990"
13,59284739,59293031,"ENSSSAG00000058114"
2,22401182,22409642,"ENSSSAG00000094205"
16,16441147,16481178,"ENSSSAG00000105146"
7,20756638,20814653,"ENSSSAG00000079609"
2,22425614,22436699,"ENSSSAG00000061388"
16,16468330,16476014,"ENSSSAG00000109786"
29,10589752,10795847,"ENSSSAG00000069282"
7,65407922,65530767,"ENSSSAG00000117081"
19,69809312,69844623,"ENSSSAG00000078964"
7,65532598,65693062,"ENSSSAG00000088722"
1,138743116,138747375,"ENSSSAG00000117373"
4,37615096,37629976,"ENSSSAG00000101088"
2,22436758,22449795,"ENSSSAG00000106298"
4,37627182,37653333,"ENSSSAG00000003134"
7,47973365,47979422,"ENSSSAG00000064235"
1,161088343,161099761,"ENSSSAG00000069676"
9,75381072,75382884,"ENSSSAG00000005438"
28,37788205,37791431,"ENSSSAG00000109005"
28,40247927,40250316,"ENSSSAG00000097298"
16,16489719,16520753,"ENSSSAG00000076995"
7,20816603,20819985,"ENSSSAG00000079612"
13,55636110,55648285,"ENSSSAG00000072867"
1,134164683,134191707,"ENSSSAG00000006418"
1,154461692,154480734,"ENSSSAG00000079431"
9,75426318,75488812,"ENSSSAG00000100731"
13,54569643,54584549,"ENSSSAG00000069377"
9,119192414,119194812,"ENSSSAG00000108051"
7,20838644,20877377,"ENSSSAG00000079617"
28,40252501,40279955,"ENSSSAG00000010321"
9,111646126,111649522,"ENSSSAG00000087067"
13,54584860,54589453,"ENSSSAG00000069384"
9,112035564,112039629,"ENSSSAG00000082140"
9,112673152,112674400,"ENSSSAG00000105765"
1,154557700,154628743,"ENSSSAG00000109208"
2,22448608,22452926,"ENSSSAG00000099573"
7,47985664,48024206,"ENSSSAG00000064357"
9,112758708,112788724,"ENSSSAG00000083928"
13,54590880,54593757,"ENSSSAG00000120312"
9,112885539,112906740,"ENSSSAG00000095947"
9,113086328,113090091,"ENSSSAG00000093117"
9,113145160,113146035,"ENSSSAG00000095434"
13,54594271,54599365,"ENSSSAG00000116308"
9,113227578,113230439,"ENSSSAG00000117154"
1,154607745,154621516,"ENSSSAG00000111807"
9,113233743,113236775,"ENSSSAG00000121985"
9,113240845,113247896,"ENSSSAG00000088428"
9,113946762,113948610,"ENSSSAG00000096128"
13,58595933,58600385,"ENSSSAG00000108982"
9,114583605,114586525,"ENSSSAG00000106731"
9,114611208,114629984,"ENSSSAG00000102021"
9,114772713,114774863,"ENSSSAG00000092326"
9,116347728,116367073,"ENSSSAG00000094188"
7,20862769,20864158,"ENSSSAG00000108254"
13,58608906,58698619,"ENSSSAG00000047247"
10,83722006,83758977,"ENSSSAG00000097944"
2,20423306,20430836,"ENSSSAG00000084356"
9,116740253,116741548,"ENSSSAG00000111102"
9,116891347,116896968,"ENSSSAG00000112967"
9,116920595,116923880,"ENSSSAG00000119379"
9,117002890,117060013,"ENSSSAG00000093087"
9,117223022,117242323,"ENSSSAG00000087119"
16,16481624,16489742,"ENSSSAG00000076990"
9,117226608,117229137,"ENSSSAG00000005607"
10,83761149,83773089,"ENSSSAG00000073278"
2,20441847,20452835,"ENSSSAG00000008675"
9,117611958,117705087,"ENSSSAG00000112163"
21,19422690,19436335,"ENSSSAG00000075818"
7,47979416,47984924,"ENSSSAG00000005879"
9,117882914,117909077,"ENSSSAG00000112542"
5,78982805,78984308,"ENSSSAG00000095826"
2,20453609,20460812,"ENSSSAG00000083001"
9,117884151,117899543,"ENSSSAG00000105801"
1,134187274,134195755,"ENSSSAG00000006439"
9,117903351,117908687,"ENSSSAG00000116429"
7,24270014,24282111,"ENSSSAG00000008409"
9,118113040,118116801,"ENSSSAG00000111894"
19,69795451,69799339,"ENSSSAG00000098060"
15,96874733,96878216,"ENSSSAG00000103535"
9,118117120,118120249,"ENSSSAG00000083973"
9,118330616,118333517,"ENSSSAG00000096726"
9,118461532,118474493,"ENSSSAG00000091977"
9,119957236,119972071,"ENSSSAG00000122025"
7,65647860,65650079,"ENSSSAG00000051858"
21,19437169,19449658,"ENSSSAG00000075841"
5,78985377,78990081,"ENSSSAG00000042829"
9,119965267,119975398,"ENSSSAG00000081928"
28,32961303,32993838,"ENSSSAG00000113297"
2,20463859,20466276,"ENSSSAG00000008630"
15,96901765,96917365,"ENSSSAG00000041466"
19,67051180,67080693,"ENSSSAG00000047997"
9,112011912,112018308,"ENSSSAG00000099192"
7,24302793,24305312,"ENSSSAG00000008438"
9,112832362,112879914,"ENSSSAG00000112199"
28,32429324,32442316,"ENSSSAG00000067056"
7,65830679,65860406,"ENSSSAG00000005250"
1,134197385,134214910,"ENSSSAG00000006549"
9,114571776,114580985,"ENSSSAG00000093824"
29,10622043,10625318,"ENSSSAG00000070074"
9,114572356,114586525,"ENSSSAG00000086062"
28,32449982,32451430,"ENSSSAG00000067064"
16,10536493,10721959,"ENSSSAG00000068162"
9,116550150,116593686,"ENSSSAG00000091813"
13,58685794,58706434,"ENSSSAG00000118717"
7,24265577,24271399,"ENSSSAG00000104995"
9,116910474,116977697,"ENSSSAG00000116208"
9,117372225,117389071,"ENSSSAG00000110136"
10,83772386,83802459,"ENSSSAG00000046099"
9,118372745,118382060,"ENSSSAG00000117987"
13,58701958,58885183,"ENSSSAG00000072697"
9,119448336,119452531,"ENSSSAG00000092947"
2,20466645,20480346,"ENSSSAG00000008617"
9,119783283,119799594,"ENSSSAG00000094586"
1,134200369,134209442,"ENSSSAG00000006471"
7,48016299,48020646,"ENSSSAG00000085222"
9,111568802,111577715,"ENSSSAG00000119885"
29,10623978,10631807,"ENSSSAG00000099237"
9,111576714,111579075,"ENSSSAG00000092838"
9,111577716,111578902,"ENSSSAG00000120348"
10,83803422,83816490,"ENSSSAG00000073312"
9,111803336,111822910,"ENSSSAG00000091883"
9,111894238,111895721,"ENSSSAG00000119509"
28,32489659,32504614,"ENSSSAG00000067068"
9,112009729,112016134,"ENSSSAG00000092510"
9,112035564,112039629,"ENSSSAG00000097737"
7,62161302,62218624,"ENSSSAG00000092897"
20,63943868,63945333,"ENSSSAG00000072659"
9,112192077,112195385,"ENSSSAG00000084932"
1,154610818,154619451,"ENSSSAG00000079447"
9,112217164,112218971,"ENSSSAG00000104692"
9,112222271,112223668,"ENSSSAG00000099060"
10,83865485,83877504,"ENSSSAG00000116750"
9,114342610,114349042,"ENSSSAG00000084386"
9,114772713,114774863,"ENSSSAG00000118880"
9,114978234,114980964,"ENSSSAG00000111588"
2,20488895,20518021,"ENSSSAG00000008600"
7,48024473,48034211,"ENSSSAG00000064371"
9,115003921,115006549,"ENSSSAG00000090478"
9,115006387,115007831,"ENSSSAG00000091956"
9,115022581,115024940,"ENSSSAG00000111653"
9,116347728,116367073,"ENSSSAG00000101669"
10,85198772,85279895,"ENSSSAG00000047633"
9,116363938,116367103,"ENSSSAG00000120582"
13,81815849,81825813,"ENSSSAG00000039136"
9,116432438,116437958,"ENSSSAG00000112223"
16,10560526,10561509,"ENSSSAG00000120751"
9,117391038,117405095,"ENSSSAG00000093812"
9,117564440,117576176,"ENSSSAG00000121864"
9,119593219,119597005,"ENSSSAG00000120155"
9,111915631,111923278,"ENSSSAG00000105769"
9,112011912,112018308,"ENSSSAG00000091648"
7,48043538,48087746,"ENSSSAG00000082371"
7,24266587,24278071,"ENSSSAG00000008334"
28,23034822,23075015,"ENSSSAG00000045454"
20,62549096,62610831,"ENSSSAG00000069688"
10,85279973,85307952,"ENSSSAG00000096713"
9,117372225,117389071,"ENSSSAG00000112362"
16,10582892,10603408,"ENSSSAG00000106237"
9,117394642,117396717,"ENSSSAG00000106350"
